Evoked Response
seconds	EEG	Trigger
0	-2.19149851029031E-8	-6.08749586191752E-10
0.002	-3.23797775411607E-7	-8.97747293959486E-9
0.004	-2.33949201386219E-6	-6.5176167504544E-8
0.006	-1.10787464624311E-5	-3.10116517989832E-7
0.008	-3.89044914492037E-5	-1.08748865030825E-6
0.01	-0.00010869615862498	-3.00203953452981E-6
0.012	-0.000253109940282549	-6.81883001752739E-6
0.014	-0.000507817573702946	-1.31768557450125E-5
0.016	-0.000899821459981076	-2.22622409561605E-5
0.018	-0.00143487920490336	-3.36661583393239E-5
0.02	-0.00208900037694563	-4.65485505548714E-5
0.022	-0.00280782877340607	-6.00368732507968E-5
0.024	-0.00351516370015603	-7.36583814771874E-5
0.026	-0.00412864289385302	-8.75901459074217E-5
0.028	-0.00457773737697241	-0.000102582721332826
0.03	-0.00481803856125578	-0.000119541063444483
0.032	-0.00483724992917268	-0.000138914309726793
0.034	-0.00465184288306362	-0.000160182586687046
0.036	-0.00429715427189093	-0.000181714699433814
0.038	-0.00381584466193565	-0.000201080250186262
0.04	-0.00324929502307517	-0.000215670443946015
0.042	-0.0026342684537896	-0.000223379903918643
0.044	-0.00200440815253247	-0.000223156776652794
0.046	-0.00139420407623274	-0.000215336568865542
0.048	-0.000842406281520815	-0.000201736048694289
0.05	-0.000392205420971754	-0.000185487173829378
0.052	-8.65505521159537E-5	-0.000170591906738566
0.054	4.1243462421925E-5	-0.000161225970090737
0.056	-2.08878321035803E-5	-0.00016090752139037
0.058	-0.000254311438338492	-0.000171721693657387
0.06	-0.000606940539647156	-0.000193803787806057
0.062	-0.000999700156778338	-0.000225223550907665
0.064	-0.00134173574983351	-0.00026230724936215
0.066	-0.00155112735069817	-0.000300322339650551
0.068	-0.00157595445263541	-0.000334365040479983
0.07	-0.00140991032505701	-0.000360253383374953
0.072	-0.00109769095867288	-0.000375240828767525
0.074	-0.00072789338760158	-0.000378418679876426
0.076	-0.000414483639009938	-0.000370751771422198
0.078	-0.000271234355126658	-0.000354769579254686
0.08	-0.000385742538137281	-0.00033398979228989
0.082	-0.000799566513785317	-0.00031217216480684
0.084	-0.00149863851404751	-0.000292513378832287
0.086	-0.0024148142222486	-0.000276930271938622
0.088	-0.00343694385533465	-0.00026560367107897
0.09	-0.00442899765337783	-0.000256902753162814
0.092	-0.0052529859428712	-0.000247694243287431
0.094	-0.0057942075454241	-0.000233941639344452
0.096	-0.00598481985989721	-0.000211473524407365
0.098	-0.00581990213474768	-0.000176837492084453
0.1	-0.00536035730394311	-0.000128174843597034
0.102	-0.00472023786145056	-6.59862039633277E-5
0.104	-0.00404117952986979	6.4213635408379E-6
0.106	-0.00346117328977858	8.30014288970595E-5
0.108	-0.00308674635186987	0.000155647704511831
