18/05/2011
2:42 PM

channelA, SE 0, G=1, y=v1;
channelB, SE 1, G=1, y=v2;
channelC, SE 2, G=1, y=v3;
channelD, SE 3, G=1, y=v1;


Time	V1	V2	V3	V4	channelA	channelB	channelC	channelD	IO
0.0000	3.764648	1.420898	1.435547	1.425781	3.764648	1.420898	1.435547	3.764648	0
0.0033	3.784180	1.420898	1.440430	1.430664	3.784180	1.420898	1.440430	3.784180	0
0.0067	3.789062	1.420898	1.435547	1.425781	3.789062	1.420898	1.435547	3.789062	0
0.0100	3.793945	1.425781	1.440430	1.430664	3.793945	1.425781	1.440430	3.793945	0
0.0133	3.793945	1.425781	1.440430	1.430664	3.793945	1.425781	1.440430	3.793945	0
0.0167	3.774414	1.420898	1.435547	1.425781	3.774414	1.420898	1.435547	3.774414	0
0.0200	3.764648	1.425781	1.435547	1.430664	3.764648	1.425781	1.435547	3.764648	0
0.0233	3.789062	1.425781	1.435547	1.430664	3.789062	1.425781	1.435547	3.789062	0
0.0267	3.784180	1.425781	1.435547	1.430664	3.784180	1.425781	1.435547	3.784180	0
0.0300	3.793945	1.425781	1.440430	1.430664	3.793945	1.425781	1.440430	3.793945	0
0.0333	3.789062	1.420898	1.440430	1.430664	3.789062	1.420898	1.440430	3.789062	0
0.0367	3.774414	1.425781	1.435547	1.430664	3.774414	1.425781	1.435547	3.774414	0
0.0400	3.764648	1.425781	1.425781	1.425781	3.764648	1.425781	1.425781	3.764648	0
0.0433	3.784180	1.425781	1.435547	1.425781	3.784180	1.425781	1.435547	3.784180	0
0.0467	3.784180	1.425781	1.435547	1.430664	3.784180	1.425781	1.435547	3.784180	0
0.0500	3.793945	1.425781	1.435547	1.425781	3.793945	1.425781	1.435547	3.793945	0
0.0533	3.793945	1.425781	1.435547	1.430664	3.793945	1.425781	1.435547	3.793945	0
0.0567	3.779297	1.420898	1.440430	1.430664	3.779297	1.420898	1.440430	3.779297	0
0.0600	3.764648	1.425781	1.435547	1.425781	3.764648	1.425781	1.435547	3.764648	0
0.0633	3.784180	1.420898	1.435547	1.430664	3.784180	1.420898	1.435547	3.784180	0
0.0667	3.784180	1.425781	1.435547	1.430664	3.784180	1.425781	1.435547	3.784180	0
0.0700	3.793945	1.425781	1.440430	1.430664	3.793945	1.425781	1.440430	3.793945	0
0.0733	3.789062	1.425781	1.435547	1.430664	3.789062	1.425781	1.435547	3.789062	0
0.0767	3.774414	1.420898	1.435547	1.430664	3.774414	1.420898	1.435547	3.774414	0
0.0800	3.764648	1.425781	1.430664	1.425781	3.764648	1.425781	1.430664	3.764648	0
0.0833	3.779297	1.420898	1.435547	1.430664	3.779297	1.420898	1.435547	3.779297	0
0.0867	3.789062	1.420898	1.435547	1.430664	3.789062	1.420898	1.435547	3.789062	0
0.0900	3.793945	1.425781	1.435547	1.430664	3.793945	1.425781	1.435547	3.793945	0
0.0933	3.793945	1.411133	1.440430	1.430664	3.793945	1.411133	1.440430	3.793945	0
0.0967	3.779297	1.420898	1.435547	1.425781	3.779297	1.420898	1.435547	3.779297	0
0.1000	3.764648	1.425781	1.435547	1.430664	3.764648	1.425781	1.435547	3.764648	0
0.1033	3.784180	1.425781	1.440430	1.420898	3.784180	1.425781	1.440430	3.784180	0
0.1067	3.789062	1.425781	1.435547	1.430664	3.789062	1.425781	1.435547	3.789062	0
0.1100	3.793945	1.420898	1.435547	1.430664	3.793945	1.420898	1.435547	3.793945	0
0.1133	3.789062	1.416016	1.435547	1.430664	3.789062	1.416016	1.435547	3.789062	0
0.1167	3.769531	1.420898	1.435547	1.425781	3.769531	1.420898	1.435547	3.769531	0
0.1200	3.764648	1.425781	1.435547	1.430664	3.764648	1.425781	1.435547	3.764648	0
0.1233	3.784180	1.425781	1.435547	1.430664	3.784180	1.425781	1.435547	3.784180	0
0.1267	3.784180	1.425781	1.435547	1.425781	3.784180	1.425781	1.435547	3.784180	0
0.1300	3.793945	1.425781	1.440430	1.430664	3.793945	1.425781	1.440430	3.793945	0
0.1333	3.789062	1.425781	1.435547	1.435547	3.789062	1.425781	1.435547	3.789062	0
0.1367	3.774414	1.425781	1.440430	1.425781	3.774414	1.425781	1.440430	3.774414	0
0.1400	3.764648	1.425781	1.445312	1.430664	3.764648	1.425781	1.445312	3.764648	0
0.1433	3.784180	1.425781	1.435547	1.430664	3.784180	1.425781	1.435547	3.784180	0
0.1467	3.789062	1.425781	1.435547	1.425781	3.789062	1.425781	1.435547	3.789062	0
0.1500	3.793945	1.425781	1.435547	1.430664	3.793945	1.425781	1.435547	3.793945	0
0.1533	3.793945	1.425781	1.435547	1.420898	3.793945	1.425781	1.435547	3.793945	0
0.1567	3.769531	1.425781	1.435547	1.430664	3.769531	1.425781	1.435547	3.769531	0
0.1600	3.764648	1.420898	1.435547	1.430664	3.764648	1.420898	1.435547	3.764648	0
0.1633	3.784180	1.425781	1.435547	1.430664	3.784180	1.425781	1.435547	3.784180	0
0.1667	3.789062	1.425781	1.435547	1.425781	3.789062	1.425781	1.435547	3.789062	0
0.1700	3.798828	1.425781	1.440430	1.425781	3.798828	1.425781	1.440430	3.798828	0
0.1733	3.789062	1.420898	1.425781	1.430664	3.789062	1.420898	1.425781	3.789062	0
0.1767	3.774414	1.425781	1.440430	1.425781	3.774414	1.425781	1.440430	3.774414	0
0.1800	3.764648	1.425781	1.435547	1.430664	3.764648	1.425781	1.435547	3.764648	0
0.1833	3.789062	1.420898	1.435547	1.420898	3.789062	1.420898	1.435547	3.789062	0
0.1867	3.793945	1.425781	1.425781	1.425781	3.793945	1.425781	1.425781	3.793945	0
0.1900	3.798828	1.420898	1.435547	1.430664	3.798828	1.420898	1.435547	3.798828	0
0.1933	3.789062	1.425781	1.435547	1.430664	3.789062	1.425781	1.435547	3.789062	0
0.1967	3.774414	1.425781	1.435547	1.430664	3.774414	1.425781	1.435547	3.774414	0
0.2000	3.769531	1.420898	1.435547	1.425781	3.769531	1.420898	1.435547	3.769531	0
0.2033	3.779297	1.425781	1.440430	1.430664	3.779297	1.425781	1.440430	3.779297	0
0.2067	3.784180	1.425781	1.435547	1.430664	3.784180	1.425781	1.435547	3.784180	0
0.2100	3.793945	1.420898	1.435547	1.430664	3.793945	1.420898	1.435547	3.793945	0
0.2133	3.793945	1.425781	1.435547	1.425781	3.793945	1.425781	1.435547	3.793945	0
0.2167	3.769531	1.425781	1.435547	1.425781	3.769531	1.425781	1.435547	3.769531	0
