
time;voltage
0;0.0018310546875
0.002;-0.00213623046875
0.004;0.0018310546875
0.006;0.00274658203125
0.008;0.00091552734375
0.01;0.0018310546875
0.012;0.001220703125
0.014;-0.00030517578125
0.016;0.001220703125
0.018;-0.00030517578125
0.02;0.00213623046875
0.022;0.0018310546875
0.024;0.00091552734375
0.026;0.00091552734375
0.028;0.0006103515625
0.03;0.0006103515625
0.032;0.0018310546875
0.034;0
0.036;0.001220703125
0.038;0.0030517578125
0.04;0.00152587890625
0.042;0.00274658203125
0.044;0.00091552734375
0.046;0.00091552734375
0.048;0
0.05;0
0.052;0.0006103515625
0.054;0.00091552734375
0.056;0.0042724609375
0.058;0.00213623046875
0.06;0.0054931640625
0.062;0
0.064;-0.003662109375
0.066;0.0006103515625
0.068;-0.0006103515625
0.07;0.00091552734375
0.072;0.00274658203125
0.074;0.00213623046875
0.076;0.0018310546875
0.078;0.00152587890625
0.08;0.001220703125
0.082;0.00213623046875
0.084;0.00213623046875
0.086;0.0018310546875
0.088;0.0006103515625
0.09;0.00091552734375
0.092;0.00030517578125
0.094;0.001220703125
0.096;0.001220703125
0.098;0.0018310546875
0.1;0.0018310546875
0.102;0.00091552734375
0.104;0.0006103515625
0.106;0.0006103515625
0.108;-0.00091552734375
0.11;0.0006103515625
0.112;0.0006103515625
0.114;0.0006103515625
0.116;0.0018310546875
0.118;0.00579833984375
0.12;0.00152587890625
0.122;0.0042724609375
0.124;0.0006103515625
0.126;-0.0030517578125
0.128;0.0006103515625
0.13;-0.00335693359375
0.132;0
0.134;0.00213623046875
0.136;0.0006103515625
0.138;0.00091552734375
0.14;0.0018310546875
0.142;-0.00091552734375
0.144;0.00030517578125
0.146;0.0006103515625
0.148;-0.0006103515625
0.15;0
0.152;0.0006103515625
0.154;0.00030517578125
0.156;0.001220703125
0.158;0.001220703125
0.16;0.001220703125
0.162;0.00030517578125
0.164;0
0.166;0
0.168;-0.00091552734375
0.17;-0.00152587890625
0.172;-0.00030517578125
0.174;-0.00091552734375
0.176;-0.00152587890625
0.178;0.00152587890625
0.18;0.0048828125
0.182;-0.00091552734375
0.184;0.001220703125
0.186;-0.00091552734375
0.188;-0.0042724609375
0.19;-0.0006103515625
0.192;-0.001220703125
0.194;0.0006103515625
0.196;0.0018310546875
0.198;0.0006103515625
0.2;0.0006103515625
0.202;0.0006103515625
0.204;0.0006103515625
0.206;0.00030517578125
0.208;-0.0006103515625
0.21;-0.001220703125
0.212;0.001220703125
0.214;0.00030517578125
0.216;-0.00091552734375
0.218;0.00091552734375
0.22;0.00030517578125
0.222;0.0006103515625
0.224;0.0006103515625
0.226;0.00091552734375
0.228;0.0006103515625
0.23;0.0006103515625
0.232;0
0.234;0.00030517578125
0.236;0
0.238;0.001220703125
0.24;0.00244140625
0.242;0.00030517578125
0.244;0.00244140625
0.246;0.0042724609375
0.248;0.0006103515625
0.25;0.00457763671875
0.252;0.0006103515625
0.254;0.0048828125
0.256;0.0006103515625
0.258;-0.00213623046875
0.26;0.00152587890625
0.262;0.001220703125
0.264;0.00244140625
0.266;0.003662109375
0.268;0.001220703125
0.27;0.00091552734375
0.272;0.0030517578125
0.274;0.001220703125
0.276;0.001220703125
0.278;0.00335693359375
0.28;0.0030517578125
0.282;0.00152587890625
0.284;0.00213623046875
0.286;0.001220703125
0.288;0.00152587890625
0.29;0.00030517578125
0.292;0.00152587890625
0.294;0.0018310546875
0.296;0.00152587890625
0.298;0.0006103515625
0.3;0.00152587890625
0.302;-0.00030517578125
0.304;0.00152587890625
0.306;0.001220703125
0.308;0.00152587890625
0.31;0.00091552734375
0.312;0.0018310546875
0.314;0.00244140625
0.316;0.0067138671875
0.318;0.00244140625
0.32;0.0048828125
0.322;0.001220703125
0.324;-0.00244140625
0.326;0.00030517578125
0.328;-0.00274658203125
0.33;-0.0006103515625
0.332;0.00091552734375
0.334;0.00091552734375
0.336;0.00091552734375
0.338;0.0018310546875
0.34;0.0018310546875
0.342;0.0006103515625
0.344;0.00152587890625
0.346;0.001220703125
0.348;0.0018310546875
0.35;0.0006103515625
0.352;0.001220703125
0.354;0.00152587890625
0.356;0
0.358;0.0018310546875
0.36;0.00274658203125
0.362;0.001220703125
0.364;0.0006103515625
0.366;0.0006103515625
0.368;-0.00091552734375
0.37;-0.00152587890625
0.372;-0.00030517578125
0.374;0.0006103515625
0.376;0.0006103515625
0.378;0.0006103515625
0.38;0.0018310546875
0.382;0.00396728515625
0.384;0.0018310546875
0.386;0.0054931640625
0.388;0.0006103515625
0.39;0.0030517578125
0.392;-0.0006103515625
0.394;-0.00335693359375
0.396;0.00152587890625
0.398;0.001220703125
0.4;0.00244140625
0.402;0.00152587890625
0.404;0.00091552734375
0.406;-0.00091552734375
0.408;0
0.41;-0.0018310546875
0.412;-0.00030517578125
0.414;-0.00030517578125
0.416;0
0.418;0.00091552734375
0.42;0.00244140625
0.422;-0.00030517578125
0.424;0.001220703125
0.426;-0.0006103515625
0.428;-0.00030517578125
0.43;-0.00091552734375
0.432;0
0.434;-0.00030517578125
0.436;-0.00091552734375
0.438;-0.0006103515625
0.44;0.001220703125
0.442;0
0.444;0
0.446;-0.0006103515625
0.448;-0.001220703125
0.45;0.00030517578125
0.452;0.0018310546875
0.454;0.00091552734375
0.456;0.00457763671875
0.458;0.00091552734375
0.46;0.0018310546875
0.462;0.0006103515625
0.464;-0.0042724609375
0.466;-0.00030517578125
0.468;0.00091552734375
0.47;0.0006103515625
0.472;0.0018310546875
0.474;0.00091552734375
0.476;0.00152587890625
0.478;0.001220703125
0.48;-0.00030517578125
0.482;0.00030517578125
